DATE_TIME,Motion
2019-05-31 23:15:00,0
2019-05-31 23:30:00,0
2019-05-31 23:45:00,0
2019-06-01 00:00:00,56
2019-06-01 00:15:00,125
2019-06-01 00:30:00,95
2019-06-01 00:45:00,72
2019-06-01 01:00:00,10
2019-06-01 01:15:00,100
2019-06-01 01:30:00,136
2019-06-01 01:45:00,143
2019-06-01 02:00:00,76
2019-06-01 02:15:00,44
2019-06-01 02:30:00,58
2019-06-01 02:45:00,21
2019-06-01 03:00:00,79
2019-06-01 03:15:00,29
2019-06-01 03:30:00,46
2019-06-01 03:45:00,33
2019-06-01 04:00:00,41
2019-06-01 04:15:00,9
2019-06-01 04:30:00,38
2019-06-01 04:45:00,26
2019-06-01 05:00:00,116
2019-06-01 05:15:00,57
2019-06-01 05:30:00,3
2019-06-01 05:45:00,24
2019-06-01 06:00:00,26
2019-06-01 06:15:00,33
2019-06-01 06:30:00,22
2019-06-01 06:45:00,33
2019-06-01 07:00:00,22
2019-06-01 07:15:00,34
2019-06-01 07:30:00,33
2019-06-01 07:45:00,15
2019-06-01 08:00:00,22
2019-06-01 08:15:00,94
2019-06-01 08:30:00,163
2019-06-01 08:45:00,162
2019-06-01 09:00:00,157
2019-06-01 09:15:00,90
2019-06-01 09:30:00,147
2019-06-01 09:45:00,44
2019-06-01 10:00:00,6
2019-06-01 10:15:00,43
2019-06-01 10:30:00,36
2019-06-01 10:45:00,93
2019-06-01 11:00:00,84
2019-06-01 11:15:00,90
2019-06-01 11:30:00,74
2019-06-01 11:45:00,121
2019-06-01 12:00:00,49
2019-06-01 12:15:00,88
2019-06-01 12:30:00,97
2019-06-01 12:45:00,109
2019-06-01 13:00:00,75
2019-06-01 13:15:00,82
2019-06-01 13:30:00,84
2019-06-01 13:45:00,70
2019-06-01 14:00:00,90
2019-06-01 14:15:00,137
2019-06-01 14:30:00,22
2019-06-01 14:45:00,80
2019-06-01 15:00:00,131
2019-06-01 15:15:00,102
2019-06-01 15:30:00,56
2019-06-01 15:45:00,59
2019-06-01 16:00:00,22
2019-06-01 16:15:00,98
2019-06-01 16:30:00,56
2019-06-01 16:45:00,64
2019-06-01 17:00:00,73
2019-06-01 17:15:00,50
2019-06-01 17:30:00,63
2019-06-01 17:45:00,78
2019-06-01 18:00:00,0
2019-06-01 18:15:00,23
2019-06-01 18:30:00,58
2019-06-01 18:45:00,47
2019-06-01 19:00:00,13
2019-06-01 19:15:00,14
2019-06-01 19:30:00,39
2019-06-01 19:45:00,85
2019-06-01 20:00:00,82
2019-06-01 20:15:00,39
2019-06-01 20:30:00,24
2019-06-01 20:45:00,17
2019-06-01 21:00:00,25
2019-06-01 21:15:00,44
2019-06-01 21:30:00,5
2019-06-01 21:45:00,39
2019-06-01 22:00:00,94
2019-06-01 22:15:00,46
2019-06-01 22:30:00,33
2019-06-01 22:45:00,21
2019-06-01 23:00:00,40
2019-06-01 23:15:00,1
2019-06-01 23:30:00,0
2019-06-01 23:45:00,0
2019-06-02 00:00:00,0
2019-06-02 00:15:00,0
2019-06-02 00:30:00,0
2019-06-02 00:45:00,2
2019-06-02 01:00:00,0
2019-06-02 01:15:00,0
2019-06-02 01:30:00,1
2019-06-02 01:45:00,0
2019-06-02 02:00:00,0
2019-06-02 02:15:00,3
2019-06-02 02:30:00,3
2019-06-02 02:45:00,105
2019-06-02 03:00:00,138
2019-06-02 03:15:00,71
2019-06-02 03:30:00,17
2019-06-02 03:45:00,83
2019-06-02 04:00:00,162
2019-06-02 04:15:00,103
2019-06-02 04:30:00,5
2019-06-02 04:45:00,14
2019-06-02 05:00:00,24
2019-06-02 05:15:00,51
2019-06-02 05:30:00,59
2019-06-02 05:45:00,29
2019-06-02 06:00:00,26
2019-06-02 06:15:00,64
2019-06-02 06:30:00,104
2019-06-02 06:45:00,16
2019-06-02 07:00:00,95
2019-06-02 07:15:00,165
2019-06-02 07:30:00,90
2019-06-02 07:45:00,86
2019-06-02 08:00:00,42
2019-06-02 08:15:00,29
2019-06-02 08:30:00,131
2019-06-02 08:45:00,157
2019-06-02 09:00:00,154
2019-06-02 09:15:00,167
2019-06-02 09:30:00,38
